,session_id,ner_model,sentence_index,named_entity_type,entity
156,d0e9c5cd2bdf,transformers,80,B-PER,Doug
157,d0e9c5cd2bdf,transformers,80,B-PER,La
158,d0e9c5cd2bdf,transformers,80,I-PER,##B
159,d0e9c5cd2bdf,transformers,80,I-ORG,##elle
160,d0e9c5cd2bdf,transformers,80,B-PER,Bat
161,d0e9c5cd2bdf,transformers,80,I-PER,##ts
162,d0e9c5cd2bdf,transformers,80,B-PER,Tony
163,d0e9c5cd2bdf,flair,80,PER,Doug
164,d0e9c5cd2bdf,flair,80,PER,LaBelle
165,d0e9c5cd2bdf,flair,80,PER,Batts
166,d0e9c5cd2bdf,flair,80,PER,Tony
167,d0e9c5cd2bdf,transformers,81,B-ORG,Commissioners
168,d0e9c5cd2bdf,spacy,83,ORG,Retreat
169,d0e9c5cd2bdf,spacy,83,ORG,Community
170,d0e9c5cd2bdf,flair,83,MISC,Retreat
171,d0e9c5cd2bdf,spacy,84,ORG,Community
172,d0e9c5cd2bdf,spacy,86,DATE,the next couple of years
173,d0e9c5cd2bdf,spacy,88,GPE,District
174,d0e9c5cd2bdf,spacy,90,GPE,District
175,d0e9c5cd2bdf,spacy,90,CARDINAL,nine
176,d0e9c5cd2bdf,spacy,90,CARDINAL,five
177,d0e9c5cd2bdf,spacy,91,DATE,today
178,d0e9c5cd2bdf,spacy,94,TIME,evening
179,d0e9c5cd2bdf,spacy,94,ORG,Commissioners
180,d0e9c5cd2bdf,spacy,94,PERSON,Gutierrez
181,d0e9c5cd2bdf,transformers,94,B-PER,G
182,d0e9c5cd2bdf,transformers,94,I-PER,##uti
183,d0e9c5cd2bdf,transformers,94,I-PER,##er
184,d0e9c5cd2bdf,transformers,94,I-PER,##rez
185,d0e9c5cd2bdf,flair,94,PER,Gutierrez
186,d0e9c5cd2bdf,spacy,96,GPE,Quorum
187,d0e9c5cd2bdf,flair,96,ORG,Quorum
188,d0e9c5cd2bdf,spacy,98,GPE,Echo
189,d0e9c5cd2bdf,spacy,98,PERSON,Gutierrez
190,d0e9c5cd2bdf,transformers,98,B-PER,G
191,d0e9c5cd2bdf,transformers,98,I-PER,##uti
192,d0e9c5cd2bdf,transformers,98,I-PER,##er
193,d0e9c5cd2bdf,transformers,98,I-PER,##rez
194,d0e9c5cd2bdf,flair,98,PER,Gutierrez
195,d0e9c5cd2bdf,flair,98,MISC,Retreat
196,d0e9c5cd2bdf,spacy,100,DATE,this next year
197,d0e9c5cd2bdf,spacy,100,ORG,Community
198,d0e9c5cd2bdf,spacy,101,ORG,Vision
199,d0e9c5cd2bdf,spacy,101,ORG,Equity
200,d0e9c5cd2bdf,transformers,101,B-ORG,Vision
201,d0e9c5cd2bdf,transformers,101,B-ORG,Equity
202,d0e9c5cd2bdf,flair,101,ORG,Vision
203,d0e9c5cd2bdf,flair,101,ORG,Equity
204,d0e9c5cd2bdf,spacy,103,DATE,Saturday
205,d0e9c5cd2bdf,spacy,103,DATE,November 12th
206,d0e9c5cd2bdf,spacy,105,DATE,October
207,d0e9c5cd2bdf,spacy,105,DATE,month
208,d0e9c5cd2bdf,transformers,105,B-MISC,National
209,d0e9c5cd2bdf,spacy,106,DATE,October 1
210,d0e9c5cd2bdf,spacy,106,CARDINAL,88
211,d0e9c5cd2bdf,spacy,108,PERSON,Gutierrez
212,d0e9c5cd2bdf,spacy,108,DATE,"Tuesday, October 11th"
213,d0e9c5cd2bdf,transformers,108,B-PER,G
214,d0e9c5cd2bdf,transformers,108,I-PER,##uti
215,d0e9c5cd2bdf,transformers,108,I-PER,##er
216,d0e9c5cd2bdf,transformers,108,I-PER,##rez
217,d0e9c5cd2bdf,flair,108,PER,Gutierrez
218,d0e9c5cd2bdf,spacy,109,ORG,councilwoman
219,d0e9c5cd2bdf,transformers,109,B-ORG,Commission
220,d0e9c5cd2bdf,transformers,109,I-ORG,on
221,d0e9c5cd2bdf,transformers,109,I-ORG,disabilities
222,d0e9c5cd2bdf,flair,109,ORG,Commission
223,d0e9c5cd2bdf,spacy,110,WORK_OF_ART,Cape Cod
224,d0e9c5cd2bdf,spacy,110,ORG,Fair
225,d0e9c5cd2bdf,spacy,110,TIME,5:00
226,d0e9c5cd2bdf,spacy,110,ORG,Ada
227,d0e9c5cd2bdf,spacy,110,PERSON,Jennifer komiyama
228,d0e9c5cd2bdf,spacy,110,DATE,month
229,d0e9c5cd2bdf,transformers,110,B-LOC,Cape
230,d0e9c5cd2bdf,transformers,110,I-MISC,Co
231,d0e9c5cd2bdf,transformers,110,I-LOC,##d
232,d0e9c5cd2bdf,transformers,110,B-MISC,Fair
233,d0e9c5cd2bdf,transformers,110,B-ORG,Ada
234,d0e9c5cd2bdf,transformers,110,B-PER,Jennifer
235,d0e9c5cd2bdf,transformers,110,I-PER,k
236,d0e9c5cd2bdf,transformers,110,I-PER,##omi
237,d0e9c5cd2bdf,flair,110,LOC,Cape Cod
238,d0e9c5cd2bdf,flair,110,PER,Jennifer komiyama
239,d0e9c5cd2bdf,spacy,113,ORG,The Long Beach Community
240,d0e9c5cd2bdf,transformers,113,B-ORG,The
241,d0e9c5cd2bdf,transformers,113,I-ORG,Long
242,d0e9c5cd2bdf,transformers,113,I-ORG,Beach
243,d0e9c5cd2bdf,transformers,113,I-ORG,Community
244,d0e9c5cd2bdf,flair,113,ORG,The Long Beach Community
245,d0e9c5cd2bdf,spacy,114,CARDINAL,one
246,d0e9c5cd2bdf,spacy,114,CARDINAL,one
247,d0e9c5cd2bdf,spacy,114,DATE,last last month
248,d0e9c5cd2bdf,spacy,116,ORG,The Long Beach Community
249,d0e9c5cd2bdf,spacy,116,CARDINAL,one
250,d0e9c5cd2bdf,spacy,116,NORP,Spanish
251,d0e9c5cd2bdf,transformers,116,B-ORG,The
252,d0e9c5cd2bdf,transformers,116,I-ORG,Long
253,d0e9c5cd2bdf,transformers,116,I-ORG,Beach
254,d0e9c5cd2bdf,transformers,116,I-ORG,Community
255,d0e9c5cd2bdf,transformers,116,B-MISC,Spanish
256,d0e9c5cd2bdf,flair,116,ORG,The Long Beach Community
257,d0e9c5cd2bdf,flair,116,MISC,Spanish
258,d0e9c5cd2bdf,spacy,119,CARDINAL,One
259,d0e9c5cd2bdf,transformers,119,B-ORG,E
260,d0e9c5cd2bdf,transformers,119,I-ORG,##c
261,d0e9c5cd2bdf,flair,119,ORG,Etc
262,d0e9c5cd2bdf,spacy,122,NORP,English
263,d0e9c5cd2bdf,transformers,122,B-MISC,English
264,d0e9c5cd2bdf,flair,122,MISC,English
265,d0e9c5cd2bdf,spacy,124,NORP,English English
266,d0e9c5cd2bdf,transformers,124,B-MISC,English
267,d0e9c5cd2bdf,transformers,124,I-MISC,English
268,d0e9c5cd2bdf,flair,124,MISC,English
269,d0e9c5cd2bdf,flair,124,MISC,English
270,d0e9c5cd2bdf,spacy,126,ORG,Alana
271,d0e9c5cd2bdf,spacy,126,ORG,Commissioners
272,d0e9c5cd2bdf,transformers,126,B-PER,Alan
273,d0e9c5cd2bdf,transformers,126,B-ORG,Commissioners
274,d0e9c5cd2bdf,flair,126,PER,Alana
275,d0e9c5cd2bdf,spacy,132,ORG,doc
276,d0e9c5cd2bdf,spacy,132,ORG,Innovation
277,d0e9c5cd2bdf,transformers,132,B-ORG,technology
278,d0e9c5cd2bdf,flair,132,ORG,Innovation
279,d0e9c5cd2bdf,spacy,133,ORG,Public Safety Committee
280,d0e9c5cd2bdf,transformers,133,B-ORG,Public
281,d0e9c5cd2bdf,transformers,133,I-ORG,Safety
282,d0e9c5cd2bdf,transformers,133,I-ORG,Committee
283,d0e9c5cd2bdf,flair,133,ORG,Public Safety Committee
284,d0e9c5cd2bdf,spacy,142,PERSON,Mark
285,d0e9c5cd2bdf,transformers,142,B-PER,Mark
286,d0e9c5cd2bdf,flair,142,PER,Mark
287,d0e9c5cd2bdf,spacy,147,ORG,Alana
288,d0e9c5cd2bdf,transformers,147,B-PER,Alan
289,d0e9c5cd2bdf,flair,147,PER,Alana
290,d0e9c5cd2bdf,transformers,148,B-PER,C
291,d0e9c5cd2bdf,transformers,148,B-PER,##um
292,d0e9c5cd2bdf,transformers,148,I-PER,##mington
293,d0e9c5cd2bdf,flair,148,PER,Cummington
294,d0e9c5cd2bdf,spacy,150,CARDINAL,One
295,d0e9c5cd2bdf,spacy,153,DATE,Last month
296,d0e9c5cd2bdf,spacy,154,DATE,monthly
297,d0e9c5cd2bdf,spacy,159,DATE,the next year or so
298,d0e9c5cd2bdf,spacy,160,DATE,monthly
299,d0e9c5cd2bdf,spacy,165,ORG,Shell
300,d0e9c5cd2bdf,transformers,165,B-ORG,Shell
301,d0e9c5cd2bdf,flair,165,ORG,Shell
302,d0e9c5cd2bdf,spacy,167,ORG,Alana
303,d0e9c5cd2bdf,transformers,167,B-PER,Alan
304,d0e9c5cd2bdf,transformers,167,B-PER,##a
305,d0e9c5cd2bdf,flair,167,PER,Alana
306,d0e9c5cd2bdf,spacy,172,PERSON,Covington
307,d0e9c5cd2bdf,spacy,172,ORG,USC
308,d0e9c5cd2bdf,transformers,172,B-PER,Co
309,d0e9c5cd2bdf,transformers,172,I-PER,##vington
310,d0e9c5cd2bdf,transformers,172,B-ORG,USC
311,d0e9c5cd2bdf,flair,172,PER,Covington
312,d0e9c5cd2bdf,flair,172,LOC,USC
313,d0e9c5cd2bdf,spacy,176,DATE,a current day
314,d0e9c5cd2bdf,transformers,176,B-ORG,Community
315,d0e9c5cd2bdf,spacy,180,ORG,USD
316,d0e9c5cd2bdf,spacy,181,CARDINAL,two
317,d0e9c5cd2bdf,spacy,182,ORDINAL,first
318,d0e9c5cd2bdf,transformers,182,B-ORG,Community
319,d0e9c5cd2bdf,flair,182,ORG,Community
320,d0e9c5cd2bdf,spacy,185,PERSON,Mona Rodriguez
321,d0e9c5cd2bdf,spacy,185,DATE,last year
322,d0e9c5cd2bdf,spacy,185,DATE,September 27
323,d0e9c5cd2bdf,spacy,185,ORDINAL,second
324,d0e9c5cd2bdf,transformers,185,B-PER,Mona
325,d0e9c5cd2bdf,transformers,185,I-PER,Rodriguez
326,d0e9c5cd2bdf,flair,185,PER,Mona Rodriguez
327,d0e9c5cd2bdf,spacy,188,DATE,monthly
328,d0e9c5cd2bdf,spacy,189,DATE,this year
329,d0e9c5cd2bdf,transformers,189,B-ORG,Partners
330,d0e9c5cd2bdf,spacy,190,NORP,Alternatives
331,d0e9c5cd2bdf,transformers,190,B-MISC,Alternative
332,d0e9c5cd2bdf,spacy,203,DATE,last year
333,d0e9c5cd2bdf,spacy,204,GPE,Mona
334,d0e9c5cd2bdf,transformers,204,B-PER,Mona
335,d0e9c5cd2bdf,flair,204,PER,Mona
336,d0e9c5cd2bdf,spacy,205,DATE,the year anniversary
337,d0e9c5cd2bdf,spacy,207,PERSON,Laura
338,d0e9c5cd2bdf,transformers,207,B-PER,Laura
339,d0e9c5cd2bdf,flair,207,PER,Laura
340,d0e9c5cd2bdf,spacy,208,DATE,tomorrow
341,d0e9c5cd2bdf,spacy,209,PERSON,Cal State
342,d0e9c5cd2bdf,spacy,209,GPE,Long Beach
343,d0e9c5cd2bdf,spacy,209,PERSON,Ron ERA
344,d0e9c5cd2bdf,spacy,209,ORG,Labor
345,d0e9c5cd2bdf,transformers,209,B-ORG,Cal
346,d0e9c5cd2bdf,transformers,209,I-LOC,State
347,d0e9c5cd2bdf,transformers,209,B-LOC,Long
348,d0e9c5cd2bdf,transformers,209,I-LOC,Beach
349,d0e9c5cd2bdf,transformers,209,B-ORG,Partners
350,d0e9c5cd2bdf,transformers,209,B-PER,Ron
351,d0e9c5cd2bdf,transformers,209,I-PER,ERA
352,d0e9c5cd2bdf,transformers,209,B-ORG,County
353,d0e9c5cd2bdf,transformers,209,B-ORG,Labor
354,d0e9c5cd2bdf,flair,209,LOC,Cal State
355,d0e9c5cd2bdf,flair,209,LOC,Long Beach
356,d0e9c5cd2bdf,flair,209,PER,Ron ERA
357,d0e9c5cd2bdf,flair,209,ORG,Labor
358,d0e9c5cd2bdf,spacy,210,FAC,the Alumni Center
359,d0e9c5cd2bdf,transformers,210,B-LOC,Alumni
360,d0e9c5cd2bdf,transformers,210,I-LOC,Center
361,d0e9c5cd2bdf,flair,210,ORG,Alumni Center
362,d0e9c5cd2bdf,spacy,211,TIME,5:30
363,d0e9c5cd2bdf,spacy,211,TIME,an hour
364,d0e9c5cd2bdf,spacy,211,TIME,6:30
365,d0e9c5cd2bdf,transformers,211,B-ORG,Network
366,d0e9c5cd2bdf,spacy,212,ORG,Communities
367,d0e9c5cd2bdf,spacy,213,ORG,Labor
368,d0e9c5cd2bdf,transformers,213,B-ORG,Labor
369,d0e9c5cd2bdf,flair,213,ORG,Labor
370,d0e9c5cd2bdf,spacy,215,PERSON,Tony
371,d0e9c5cd2bdf,transformers,215,B-PER,Tony
372,d0e9c5cd2bdf,flair,215,PER,Tony
373,d0e9c5cd2bdf,spacy,218,PERSON,Mia
374,d0e9c5cd2bdf,transformers,218,B-PER,Mia
375,d0e9c5cd2bdf,flair,218,PER,Mia
376,d0e9c5cd2bdf,spacy,224,GPE,Long Beach
377,d0e9c5cd2bdf,spacy,224,NORP,Panthers
378,d0e9c5cd2bdf,transformers,224,B-LOC,Long
379,d0e9c5cd2bdf,transformers,224,I-LOC,Beach
380,d0e9c5cd2bdf,transformers,224,B-ORG,Panthers
381,d0e9c5cd2bdf,flair,224,LOC,Long Beach
382,d0e9c5cd2bdf,flair,224,ORG,Panthers
383,d0e9c5cd2bdf,spacy,225,ORDINAL,first
384,d0e9c5cd2bdf,spacy,228,GPE,Long Beach
385,d0e9c5cd2bdf,transformers,228,B-LOC,Long
386,d0e9c5cd2bdf,transformers,228,I-LOC,Beach
387,d0e9c5cd2bdf,flair,228,LOC,Long Beach
388,d0e9c5cd2bdf,spacy,229,ORG,Justice
389,d0e9c5cd2bdf,transformers,229,B-ORG,Gray
390,d0e9c5cd2bdf,transformers,229,I-ORG,Panthers
391,d0e9c5cd2bdf,flair,229,ORG,Gray Panthers
392,d0e9c5cd2bdf,spacy,231,ORG,Karen
393,d0e9c5cd2bdf,transformers,231,B-PER,Karen
394,d0e9c5cd2bdf,flair,231,PER,Karen
395,d0e9c5cd2bdf,spacy,236,TIME,tonight
396,d0e9c5cd2bdf,spacy,236,GPE,the Long Beach
397,d0e9c5cd2bdf,transformers,236,B-LOC,Long
398,d0e9c5cd2bdf,transformers,236,I-LOC,Beach
399,d0e9c5cd2bdf,flair,236,LOC,Long Beach
400,d0e9c5cd2bdf,spacy,237,ORG,Gray Panthers
401,d0e9c5cd2bdf,transformers,237,B-ORG,Gray
402,d0e9c5cd2bdf,transformers,237,I-ORG,Panthers
403,d0e9c5cd2bdf,flair,237,ORG,Gray Panthers
404,d0e9c5cd2bdf,spacy,239,ORG,Community
405,d0e9c5cd2bdf,spacy,239,DATE,tomorrow
406,d0e9c5cd2bdf,transformers,239,B-ORG,Labour
407,d0e9c5cd2bdf,flair,239,ORG,Labour
408,d0e9c5cd2bdf,spacy,240,CARDINAL,One
409,d0e9c5cd2bdf,spacy,242,CARDINAL,15
410,d0e9c5cd2bdf,spacy,243,PERSON,Americorps
411,d0e9c5cd2bdf,transformers,243,B-ORG,Am
412,d0e9c5cd2bdf,transformers,243,I-ORG,##eric
413,d0e9c5cd2bdf,transformers,243,I-ORG,##or
414,d0e9c5cd2bdf,transformers,243,I-ORG,##ps
415,d0e9c5cd2bdf,flair,243,ORG,Americorps
416,d0e9c5cd2bdf,spacy,244,DATE,Friday
417,d0e9c5cd2bdf,spacy,244,PERSON,Newsom
418,d0e9c5cd2bdf,transformers,244,B-PER,News
419,d0e9c5cd2bdf,transformers,244,I-PER,##om
420,d0e9c5cd2bdf,flair,244,PER,Newsom
421,d0e9c5cd2bdf,spacy,246,GPE,Long Beach
422,d0e9c5cd2bdf,spacy,246,NORP,Panthers
423,d0e9c5cd2bdf,spacy,246,ORDINAL,50th
424,d0e9c5cd2bdf,spacy,246,DATE,2024
425,d0e9c5cd2bdf,transformers,246,B-LOC,Long
426,d0e9c5cd2bdf,transformers,246,I-LOC,Beach
427,d0e9c5cd2bdf,flair,246,LOC,Long Beach
428,d0e9c5cd2bdf,flair,246,ORG,Panthers
429,d0e9c5cd2bdf,spacy,247,DATE,the early 1970s
430,d0e9c5cd2bdf,spacy,247,GPE,Long Beach
431,d0e9c5cd2bdf,spacy,247,GPE,Long Beach
432,d0e9c5cd2bdf,transformers,247,B-LOC,Long
433,d0e9c5cd2bdf,transformers,247,I-LOC,Beach
434,d0e9c5cd2bdf,transformers,247,B-LOC,Long
435,d0e9c5cd2bdf,transformers,247,I-LOC,Beach
436,d0e9c5cd2bdf,flair,247,LOC,Long Beach
437,d0e9c5cd2bdf,flair,247,LOC,Long Beach
438,d0e9c5cd2bdf,spacy,248,ORG,Peace Network
439,d0e9c5cd2bdf,transformers,248,B-ORG,Peace
440,d0e9c5cd2bdf,transformers,248,I-ORG,Network
441,d0e9c5cd2bdf,flair,248,ORG,Peace Network
442,d0e9c5cd2bdf,spacy,249,EVENT,the Vietnam War
443,d0e9c5cd2bdf,transformers,249,B-MISC,Vietnam
444,d0e9c5cd2bdf,transformers,249,I-MISC,War
445,d0e9c5cd2bdf,flair,249,MISC,Vietnam War
446,d0e9c5cd2bdf,spacy,250,ORG,Belmont Shore
447,d0e9c5cd2bdf,transformers,250,B-LOC,Belmont
448,d0e9c5cd2bdf,transformers,250,I-LOC,Shore
449,d0e9c5cd2bdf,flair,250,LOC,Belmont Shore
450,d0e9c5cd2bdf,spacy,252,CARDINAL,501
451,d0e9c5cd2bdf,spacy,252,CARDINAL,3
452,d0e9c5cd2bdf,spacy,252,DATE,2018
453,d0e9c5cd2bdf,spacy,253,CARDINAL,501
454,d0e9c5cd2bdf,spacy,253,CARDINAL,3
455,d0e9c5cd2bdf,spacy,253,CARDINAL,18
456,d0e9c5cd2bdf,spacy,257,ORDINAL,first
457,d0e9c5cd2bdf,spacy,257,ORG,Universal
458,d0e9c5cd2bdf,transformers,257,B-MISC,Universal
459,d0e9c5cd2bdf,flair,257,ORG,Universal
460,d0e9c5cd2bdf,spacy,259,DATE,Last year
461,d0e9c5cd2bdf,spacy,259,PERSON,Mary
462,d0e9c5cd2bdf,spacy,259,PERSON,dejas
463,d0e9c5cd2bdf,transformers,259,B-PER,Mary
464,d0e9c5cd2bdf,transformers,259,B-PER,de
465,d0e9c5cd2bdf,transformers,259,B-PER,##jas
466,d0e9c5cd2bdf,flair,259,PER,Mary
